EN,CR,MorphoNo,SSA,M,CationNo,AnionNo,CD,Cs
1.91,1.24,3,24.2,2.0,3,1,20.0,1411.0
1.91,1.24,3,24.2,2.0,3,1,30.0,1293.0
1.91,1.24,3,24.2,2.0,3,1,40.0,1193.0
1.91,1.24,3,19.93,6.0,1,1,2.0,1072.6
1.91,1.24,3,19.93,6.0,1,1,3.0,912.7
1.91,1.24,3,19.93,6.0,1,1,5.0,744.6
1.91,1.24,3,19.93,6.0,1,1,7.0,618.5
1.91,1.24,3,19.93,6.0,1,1,10.0,480.7
1.91,1.24,3,6.31,1.0,1,1,1.0,352.2
1.91,1.24,3,6.31,1.0,1,1,2.0,265.7
1.91,1.24,3,6.31,1.0,1,1,5.0,183.6
1.91,1.24,3,6.31,1.0,1,1,10.0,139.5
1.91,1.24,3,6.31,1.0,1,1,20.0,106.8
1.91,1.24,3,6.31,1.0,1,1,50.0,75.9
1.91,1.24,3,66.5,6.0,1,1,0.5,566.0
1.91,1.24,3,66.5,6.0,1,1,1.0,536.9
1.91,1.24,3,66.5,6.0,1,1,2.0,382.7
1.91,1.24,3,66.5,6.0,1,1,4.0,218.6
1.91,1.24,3,66.5,6.0,1,1,6.0,112.9
1.91,1.24,3,66.5,6.0,1,1,8.0,47.8
1.91,1.24,3,66.5,6.0,1,1,10.0,28.8
1.91,1.24,4,11.41,2.0,3,1,1.0,1355.0
1.91,1.24,4,11.41,2.0,3,1,2.0,1240.0
1.91,1.24,4,11.41,2.0,3,1,5.0,1133.0
1.91,1.24,4,11.41,2.0,3,1,10.0,1050.0
1.91,1.24,4,11.41,2.0,3,1,15.0,1000.0
1.91,1.24,4,11.41,2.0,3,1,20.0,967.0
1.91,1.24,3,31.2,1.0,4,2,1.0,565.0
1.91,1.24,3,31.2,1.0,4,2,4.0,543.7
1.91,1.24,3,31.2,1.0,4,2,8.0,500.7
1.91,1.24,3,31.2,1.0,4,2,10.0,486.3
1.91,1.24,3,31.2,1.0,4,2,20.0,400.7
1.91,1.24,4,59.2,6.0,1,1,1.0,1020.2
1.91,1.24,4,59.2,6.0,1,1,2.0,821.2
1.91,1.24,4,59.2,6.0,1,1,3.0,728.7
1.91,1.24,4,59.2,6.0,1,1,5.0,643.6
1.91,1.24,4,59.2,6.0,1,1,7.0,601.8
1.91,1.24,4,59.2,6.0,1,1,10.0,534.9
1.91,1.24,4,12.39,2.0,1,1,2.0,1542.6
1.91,1.24,4,12.39,2.0,1,1,3.0,1425.0
1.91,1.24,4,12.39,2.0,1,1,4.0,1338.0
1.91,1.24,4,12.39,2.0,1,1,8.0,1213.0
1.91,1.24,4,12.39,2.0,1,1,10.0,1152.0
1.91,1.24,4,12.39,2.0,1,1,20.0,890.0
1.91,1.24,3,43.1,2.0,1,1,1.0,685.0
1.63,1.22,2,5.5,6.0,1,1,1.0,152.0
1.63,1.22,2,5.5,6.0,1,1,2.0,145.0
1.63,1.22,2,5.5,6.0,1,1,5.0,136.0
1.63,1.22,2,5.5,6.0,1,1,10.0,120.0
1.63,1.22,2,5.5,6.0,1,1,15.0,90.0
1.63,1.22,4,11.17,0.5,1,2,0.2,22.4
1.63,1.22,4,11.17,0.5,1,2,0.4,15.4
1.63,1.22,4,11.17,0.5,1,2,0.6,12.6
1.63,1.22,4,11.17,0.5,1,2,0.8,7.8
1.63,1.22,4,11.17,0.5,1,2,1.0,7.6
1.63,1.22,3,32.3,2.0,1,1,1.0,211.0
1.63,1.22,3,32.3,2.0,1,1,2.0,202.56
1.63,1.22,3,32.3,2.0,1,1,10.0,170.91
1.63,1.22,3,32.3,2.0,1,1,20.0,135.04
2.36,1.39,2,16.64,2.0,1,1,0.75,241.5
2.36,1.39,2,16.64,2.0,1,1,1.0,208.13
2.36,1.39,2,16.64,2.0,1,1,2.0,177.8
2.36,1.39,2,16.64,2.0,1,1,3.0,167.85
2.36,1.39,2,16.64,2.0,1,1,4.0,160.06
2.36,1.39,2,16.64,2.0,1,1,5.0,155.08
2.36,1.39,2,16.64,2.0,1,1,6.0,150.0
2.36,1.39,2,16.64,2.0,1,1,7.0,147.58
2.36,1.39,2,16.64,2.0,1,1,10.0,139.0
2.36,1.39,2,5.24,3.0,1,1,1.0,261.8
2.36,1.39,2,5.24,3.0,1,1,1.5,220.9
2.36,1.39,2,5.24,3.0,1,1,2.0,163.6
2.36,1.39,2,5.24,3.0,1,1,2.5,86.3
2.36,1.39,2,5.24,3.0,1,1,3.0,65.4
2.36,1.39,2,39.89,1.0,4,2,0.5,156.0
2.36,1.39,2,39.89,1.0,4,2,0.8,113.3
2.36,1.39,2,39.89,1.0,4,2,1.0,95.6
2.36,1.39,2,39.89,1.0,4,2,3.0,74.3
2.36,1.39,2,39.89,1.0,4,2,5.0,69.6
2.36,1.39,4,12.8,1.0,1,1,0.25,243.8
2.36,1.39,4,12.8,1.0,1,1,0.5,236.0
2.36,1.39,4,12.8,1.0,1,1,1.0,228.2
2.36,1.39,4,12.8,1.0,1,1,2.0,220.0
2.36,1.39,4,12.8,1.0,1,1,5.0,208.0
2.36,1.39,3,3.63,2.0,1,1,0.2,264.8
2.36,1.39,3,3.63,2.0,1,1,0.5,244.9
2.36,1.39,3,3.63,2.0,1,1,1.0,220.7
2.36,1.39,3,3.63,2.0,1,1,2.0,205.5
2.36,1.39,3,3.63,2.0,1,1,4.0,175.4
2.36,1.39,3,3.63,2.0,1,1,10.0,134.5
2.36,1.39,2,7.2,1.0,2,1,0.5,62.2
2.36,1.39,2,7.2,1.0,2,1,1.0,60.2
2.36,1.39,2,7.2,1.0,2,1,2.0,57.0
2.36,1.39,2,7.2,1.0,2,1,5.0,52.6
2.36,1.39,2,7.2,1.0,2,1,10.0,48.6
2.36,1.39,2,13.6,1.0,2,1,0.5,143.9
2.36,1.39,2,13.6,1.0,2,1,1.0,137.1
2.36,1.39,2,13.6,1.0,2,1,2.0,131.0
2.36,1.39,2,13.6,1.0,2,1,5.0,124.1
2.36,1.39,2,13.6,1.0,2,1,10.0,117.6
2.16,1.3,4,12.7,1.0,2,2,1.0,100.0
2.16,1.3,4,12.7,1.0,2,2,2.0,89.0
2.16,1.3,4,12.7,1.0,2,2,3.0,83.0
2.16,1.3,4,12.7,1.0,2,2,5.0,77.0
2.16,1.3,4,12.7,1.0,2,2,7.0,72.0
2.16,1.3,4,12.7,1.0,2,2,10.0,66.0
2.16,1.3,4,12.7,1.0,2,2,15.0,58.0
2.16,1.3,4,12.7,1.0,2,2,20.0,52.0
2.16,1.3,4,19.5,1.0,2,2,1.0,180.0
2.16,1.3,4,19.5,1.0,2,2,2.0,141.0
2.16,1.3,4,19.5,1.0,2,2,3.0,130.0
2.16,1.3,4,19.5,1.0,2,2,5.0,119.0
2.16,1.3,4,19.5,1.0,2,2,7.0,113.0
2.16,1.3,4,19.5,1.0,2,2,10.0,105.0
2.16,1.3,4,19.5,1.0,2,2,15.0,95.0
2.16,1.3,4,19.5,1.0,2,2,20.0,86.0
2.16,1.3,2,22.0,1.0,4,2,0.5,148.0
2.16,1.3,2,22.0,1.0,4,2,1.0,136.0
2.16,1.3,2,22.0,1.0,4,2,2.0,123.0
2.16,1.3,2,22.0,1.0,4,2,5.0,113.0
2.16,1.3,2,22.0,1.0,4,2,10.0,102.0
2.16,1.3,2,22.0,1.0,4,2,20.0,97.0
2.16,1.3,2,22.0,1.0,4,2,30.0,94.0
2.16,1.3,4,18.68,1.0,1,3,0.5,178.0
2.16,1.3,4,18.68,1.0,1,3,1.0,168.0
2.16,1.3,4,18.68,1.0,1,3,2.0,159.0
2.16,1.3,4,18.68,1.0,1,3,4.0,148.0
2.16,1.3,4,21.1,1.0,2,2,1.0,129.2
2.16,1.3,4,21.1,1.0,2,2,1.5,115.1
2.16,1.3,4,21.1,1.0,2,2,3.0,102.3
2.16,1.3,4,21.1,1.0,2,2,5.0,92.0
2.16,1.3,4,21.1,1.0,2,2,10.0,73.8
2.16,1.3,2,6.64,1.0,2,2,0.1,226.1
2.16,1.3,2,6.64,1.0,2,2,0.2,150.7
2.16,1.3,2,6.64,1.0,2,2,0.3,133.8
2.16,1.3,2,6.64,1.0,2,2,0.5,101.5
2.16,1.3,2,6.64,1.0,2,2,0.6,85.4
2.16,1.3,2,6.64,1.0,2,2,0.7,75.3
2.16,1.3,2,6.64,1.0,2,2,1.0,34.6
2.16,1.3,4,58.2,2.0,1,1,1.0,116.8
2.16,1.3,4,58.2,2.0,1,1,10.0,44.3
