Metal,CR,IR,Lms,D,Morphology,SSA,Dap,Rct,Molarity,Cation,Anion,CD,Cs
Co,1.26,0.65,2.26,5.52,4,36.31,53.25,,6.0,1,1,5.0,957.5
Co,1.26,0.65,2.26,5.52,5,113.9,6.3278,1.02,2.0,1,1,1.0,936.0
Co,1.26,0.65,2.26,5.52,5,113.9,6.3278,1.02,2.0,1,1,2.0,883.2
Co,1.26,0.65,2.26,5.52,5,113.9,6.3278,1.02,2.0,1,1,5.0,810.0
Co,1.26,0.65,2.26,5.52,5,113.9,6.3278,1.02,2.0,1,1,10.0,746.0
Co,1.26,0.65,2.26,5.52,5,113.9,6.3278,1.02,2.0,1,1,20.0,686.4
Co,1.26,0.65,2.26,5.52,5,56.6,6.36,0.45,8.0,1,1,0.5,568.0
Co,1.26,0.65,2.26,5.52,5,56.6,6.36,0.45,8.0,1,1,1.0,499.0
Co,1.26,0.65,2.26,5.52,5,56.6,6.36,0.45,8.0,1,1,2.0,421.0
Co,1.26,0.65,2.26,5.52,5,56.6,6.36,0.45,8.0,1,1,5.0,372.0
Co,1.26,0.65,2.26,5.52,3,67.08,26.6,,3.0,1,1,1.0,426.6
Co,1.26,0.65,2.26,5.52,3,67.08,26.6,,3.0,1,1,10.0,404.8
Ni,1.24,0.69,2.36,5.53,3,201.38,12.75,,3.0,1,1,1.0,951.6
Ni,1.24,0.69,2.36,5.53,3,201.38,12.75,,3.0,1,1,10.0,555.4
Ni,1.24,0.69,2.36,5.53,3,19.93,,0.11,6.0,1,1,2.0,1072.6
Ni,1.24,0.69,2.36,5.53,3,19.93,,0.11,6.0,1,1,3.0,912.7
Ni,1.24,0.69,2.36,5.53,3,19.93,,0.11,6.0,1,1,5.0,744.6
Ni,1.24,0.69,2.36,5.53,3,19.93,,0.11,6.0,1,1,7.0,618.5
Ni,1.24,0.69,2.36,5.53,3,19.93,,0.11,6.0,1,1,10.0,480.7
Ni,1.24,0.69,2.36,5.53,4,6.31,,1.288,1.0,1,1,1.0,352.2
Ni,1.24,0.69,2.36,5.53,4,6.31,,1.288,1.0,1,1,2.0,265.7
Ni,1.24,0.69,2.36,5.53,4,6.31,,1.288,1.0,1,1,5.0,183.6
Ni,1.24,0.69,2.36,5.53,4,6.31,,1.288,1.0,1,1,10.0,139.5
Ni,1.24,0.69,2.36,5.53,4,6.31,,1.288,1.0,1,1,20.0,106.8
Ni,1.24,0.69,2.36,5.53,4,6.31,,1.288,1.0,1,1,50.0,75.9
