CR,Lms,Morphology,SSA,Molarity,Cation,Anion,CD,Cs,Cs_Class
1.24,2.36,3,31.2,1.0,4,3,10.0,486.3,V
1.24,2.36,3,31.2,1.0,4,3,20.0,400.7,V
1.24,2.36,5,59.2,6.0,1,1,1.0,1020.2,XI
1.24,2.36,5,59.2,6.0,1,1,2.0,821.2,IX
1.24,2.36,5,59.2,6.0,1,1,3.0,728.7,VIII
1.24,2.36,5,59.2,6.0,1,1,5.0,643.6,VII
1.24,2.36,5,59.2,6.0,1,1,7.0,601.8,VII
1.24,2.36,5,59.2,6.0,1,1,10.0,534.9,VI
1.22,2.42,2,5.5,6.0,1,1,1.0,152.0,II
1.22,2.42,2,5.5,6.0,1,1,2.0,145.0,II
1.22,2.42,2,5.5,6.0,1,1,5.0,136.0,II
1.22,2.42,2,5.5,6.0,1,1,10.0,120.0,II
1.22,2.42,2,5.5,6.0,1,1,15.0,90.0,I
1.22,2.42,2,11.17,0.5,1,3,0.2,22.4,I
1.22,2.42,2,11.17,0.5,1,3,0.4,15.4,I
1.22,2.42,2,11.17,0.5,1,3,0.6,12.6,I
1.22,2.42,2,11.17,0.5,1,3,0.8,7.8,I
1.22,2.42,2,11.17,0.5,1,3,1.0,7.6,I
1.5,2.41,2,16.64,2.0,1,1,0.75,241.5,III
1.5,2.41,2,16.64,2.0,1,1,1.0,208.13,III
1.5,2.41,2,16.64,2.0,1,1,2.0,177.8,II
1.5,2.41,2,16.64,2.0,1,1,3.0,167.85,II
1.5,2.41,2,16.64,2.0,1,1,4.0,160.06,II
1.5,2.41,2,16.64,2.0,1,1,5.0,155.08,II
1.5,2.41,2,16.64,2.0,1,1,6.0,150.0,II
1.5,2.41,2,16.64,2.0,1,1,7.0,147.58,II
1.5,2.41,2,16.64,2.0,1,1,10.0,139.0,II
1.5,2.41,2,5.24,3.0,1,1,1.0,261.8,III
1.5,2.41,2,5.24,3.0,1,1,1.5,220.9,III
1.5,2.41,2,5.24,3.0,1,1,2.0,163.6,II
